index,name,articles,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
1739,performance,7,2009,558.2857,0.789
1756,phase-transition,5,2004.4,472.4,0.6647
1760,phosphate,3,2006,350,0.5056
1776,photochemical phase-transition,4,2007,545.75,0.8693
1777,photochemical reduction,3,2014,346.6667,0.5281
1789,photoinduced bending behavior,3,2008.6667,622.6667,0.8547
1799,photons,3,2009,404.3333,0.6503
1808,physics,3,2000,471,0.915
1816,planetary systems : formation,3,2005,426.3333,0.7423
1818,planetesimals,4,2002.75,452.5,0.65
1867,polymers,4,2007.25,445,0.7419
1909,protein,6,2000.8333,512.6667,0.7797
1912,proteins,5,2008.8,417.6,0.527
1922,protoplanet,3,2003.6667,437.6667,0.7964
1928,pulsar,4,2011.75,813.75,1.1614
1945,qcd corrections,3,2012.3333,1625.3333,1.8811
1981,ratio,3,2000.6667,623.6667,0.9413
2000,reduction,3,2007.3333,447,0.655
2062,room-temperature,8,2004.5,753.875,1.0975
2075,saccharomyces-cerevisiae,9,2005.4444,454.2222,0.6311
2079,satellite,3,2012,693.3333,1.1667
2094,search,9,2003.1111,487.3333,0.8551
2099,self-assembled monolayers,3,2000.3333,632,0.8797
2108,semiconductors,7,2006,563.1429,0.9163
2109,separation,3,1997,390,0.6706
2113,sequences,4,2000.5,355,0.64
2128,side-chain polymers,3,2000.6667,1028,1.6591
2143,simulation,3,2002.3333,466.3333,0.6939
2156,sister-chromatid cohesion,4,2007,471.5,0.6114
2174,solar nebula,4,2003.75,473.5,0.818
2176,solar system : formation,4,2004.75,465,0.7774
2193,space vehicles : instruments,3,2007,606,1.0398
2197,spectra,5,1999,553.8,0.9825
2203,spectroscopy,6,1995.5,594.5,0.9916
2204,spectrum,3,2001.3333,742.6667,1.3039
2225,stability,7,2005.5714,568.1429,0.9329
2241,states,3,2004.6667,427.6667,0.6369
2247,stem-cells,3,2006,341,0.5212
2272,subduction,4,2003.25,486,0.8037
2284,super-kamiokande,3,2001.6667,660,1.1287
2286,supercontinent,4,2005.25,447.25,0.7034
2294,superplume,4,2005.25,447.25,0.7034
2303,surface,4,2000.75,514,0.8119
2310,surface-plasmon resonance,3,2002.3333,487,0.9065
2311,surface-relief gratings,3,2003.3333,772,1.1678
2325,system,9,2003.7778,745.7778,1.0944
2328,systems,4,2006.5,1019.75,1.5972
2339,tectonic evolution,3,2008.6667,328.3333,0.4825
2341,telescope,4,2012,463,0.8913
2343,temperature,6,2007.5,580.6667,0.8575
2373,thin-film transistors,4,2008,538,0.8875
2374,thin-films,7,2002.5714,719,1.1448
2382,time-resolved observation,3,2007,590.6667,0.9239
2384,tio2,4,2005.75,857.75,1.3815
2404,transcription,3,2005.6667,377.6667,0.5871
2415,transfer radical polymerization,3,2005,539.3333,0.8143
2422,transition,6,2002.6667,1463,1.8918
2425,transitions,3,2000.3333,405.3333,0.6389
2432,transport,6,2005,1606.5,1.9784
2434,transverse-momentum,3,2013.6667,1675.6667,1.9348
2470,vacuole targeting pathway,3,2009.6667,1126.6667,1.5335
2491,visible-light irradiation,6,2009,393.8333,0.6791
2505,water,5,2006,503,0.8095
2527,x-ray,5,2005.6,834.8,1.358
2534,x-ray-diffraction,3,2005.3333,381.3333,0.6098
2542,yeast,4,2008.25,434,0.6829
2558,zno,4,2005.25,598.5,0.9387
