"TI","AB","AU","PY","SO"
"Artificial intelligence techniques for photovoltaic applications: A review","Artificial intelligence (AI) techniques are becoming useful as alternate approaches to conventional techniques or as components of integrated systems. They have been used to solve complicated practical problems in various areas and are becoming more popular nowadays. They can learn from examples, are fault tolerant in the sense that they are able to handle noisy and incomplete data, are able to deal with nonlinear problems and once trained can perform prediction and generalization at high speed. AI-based systems are being developed and deployed worldwide in a wide variety of applications, mainly because of their symbolic reasoning, flexibility and explanation capabilities. AI has been used in different sectors, such as engineering, economics, medicine, military, marine, etc. They have also been applied for modeling, identification, optimization, prediction, forecasting and control of complex systems. The paper outlines an understanding of how All systems operate by way of presenting a number of problems in photovoltaic systems application. Problems presented include three areas: forecasting and modeling of meteorological data, sizing of photovoltaic systems and modeling, simulation and control of photovoltaic systems. Published literature presented in this paper show the potential of AI as design tool in photovoltaic systems. (c) 2008 Elsevier Ltd. All rights reserved.","Mellit, A; Kalogirou, SA",2008,"PROGRESS IN ENERGY AND COMBUSTION SCIENCE"
"Argumentation in Artificial Intelligence","","",2009,"ARGUMENTATION IN ARTIFICIAL INTELLIGENCE"
"ARTIFICIAL-INTELLIGENCE APPROACH TO STRUCTURE ACTIVITY STUDIES - COMPUTER AUTOMATED STRUCTURE EVALUATION OF BIOLOGICAL-ACTIVITY OF ORGANIC-MOLECULES","","KLOPMAN, G",1984,"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY"
"Argumentation in artificial intelligence","Over the last ten years, argumentation has come to be increasingly central as a core study within Artificial Intelligence (AI). The articles forming this volume reflect a variety of important trends, developments, and applications covering a range of current topics relating to the theory and applications of argumentation. Our aims in this introduction are, firstly, to place these contributions in the context of the historical foundations of argumentation in AI and, subsequently, to discuss a number of themes that have emerged in recent years resulting in a significant broadening of the areas in which argumentation based methods are used. We begin by presenting a brief overview of the issues of interest within the classical study of argumentation: in particular, its relationship in terms of both similarities and important differences-to traditional concepts of logical reasoning and mathematical proof. We continue by outlining how a number of foundational contributions provided the basis for the formulation of argumentation models and their promotion in Al related settings and then consider a number of new themes that have emerged in recent years, many of which provide the principal topics of the research presented in this volume. (c) 2007 Elsevier B.V. All rights reserved.","Bench-Capon, TJM; Dunne, PE",2007,"ARTIFICIAL INTELLIGENCE"
"Artificial intelligence - Autonomous mental development by robots and animals","","Weng, JY; McClelland, J; Pentland, A; Sporns, O; Stockman, I; Sur, M; Thelen, E",2001,"SCIENCE"
"Assessing bank efficiency and performance with operational research and artificial intelligence techniques: A survey","This paper presents a comprehensive review of 196 studies which employ operational research (O.R.) and artificial intelligence (A.I.) techniques in the assessment of bank performance. Several key issues in the literature are highlighted. The paper also points to a number of directions for future research. We first discuss numerous applications of data envelopment analysis which is the most widely applied O.R. technique in the field. Then we discuss applications of other techniques such as neural networks, support vector machines, and multicriteria decision aid that have also been used in recent years, in bank failure prediction studies and the assessment of bank creditworthiness and underperformance. (C) 2009 Elsevier B.V. All rights reserved.","Fethi, MD; Pasiouras, F",2010,"EUROPEAN JOURNAL OF OPERATIONAL RESEARCH"
"Artificial intelligence for the modeling and control of combustion processes: a review","Artificial intelligence (AI) systems are widely accepted as a technology offering an alternative way to tackle complex and ill-defined problems. They can learn from examples, are fault tolerant in the sense that they are able to handle noisy and incomplete data, are able to deal with non-linear problems, and once trained can perform prediction and generalization at high speed. They have been used in diverse applications in control, robotics, pattern recognition, forecasting, medicine, power systems, manufacturing, optimization, signal processing, and social/psychological sciences. They are particularly useful in system modeling such as in implementing complex mappings and system identification. AI systems comprise areas like, expert systems, artificial neural networks, genetic algorithms, fuzzy logic and various hybrid systems, which combine two or more techniques. The major objective of this paper is to illustrate how AI techniques might play an important role in modeling and prediction of the performance and control of combustion process. The paper outlines an understanding of how AI systems operate by way of presenting a number of problems in the different disciplines of combustion engineering. The various applications of AI are presented in a thematic rather than a chronological or any other order. Problems presented include two main areas: combustion systems and internal combustion (IC) engines. Combustion systems include boilers, furnaces and incinerators modeling and emissions prediction, whereas, IC engines include diesel and spark ignition engines and gas engines modeling and control. Results presented in this paper, are testimony to the potential of AI as a design tool in many areas of combustion engineering. (C) 2003 Elsevier Ltd. All rights reserved.","Kalogirou, SA",2003,"PROGRESS IN ENERGY AND COMBUSTION SCIENCE"
"Brain Intelligence: Go beyond Artificial Intelligence","Artificial intelligence (AI) is an important technology that supports daily social life and economic activities. It contributes greatly to the sustainable growth of Japan's economy and solves various social problems. In recent years, AI has attracted attention as a key for growth in developed countries such as Europe and the United States and developing countries such as China and India. The attention has been focused mainly on developing new artificial intelligence information communication technology (ICT) and robot technology (RT). Although recently developed AI technology certainly excels in extracting certain patterns, there are many limitations. Most ICT models are overly dependent on big data, lack a self-idea function, and are complicated. In this paper, rather than merely developing next-generation artificial intelligence technology, we aim to develop a new concept of general-purpose intelligence cognition technology called ""Beyond AI"". Specifically, we plan to develop an intelligent learning model called ""Brain Intelligence (BI)"" that generates new ideas about events without having experienced them by using artificial life with an imagine function. We will also conduct demonstrations of the developed BI intelligence learning model on automatic driving, precision medical care, and industrial robots.","Lu, HM; Li, YJ; Chen, M; Kim, H; Serikawa, S",2018,"MOBILE NETWORKS & APPLICATIONS"
"Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.","Adadi, A; Berrada, M",2018,"IEEE ACCESS"
"Applications of hybrid wavelet-Artificial Intelligence models in hydrology: A review","Accurate and reliable water resources planning and management to ensure sustainable use of watershed resources cannot be achieved without precise and reliable models. Notwithstanding the highly stochastic nature of hydrological processes, the development of models capable of describing such complex phenomena is a growing area of research. Providing insight into the modeling of complex phenomena through a thorough overview of the literature, current research, and expanding research horizons can enhance the potential for accurate and well designed models. The last couple of decades have seen remarkable progress in the ability to develop accurate hydrologic models. Among various conceptual and black box models developed over this period, hybrid wavelet and Artificial Intelligence (AI)-based models have been amongst the most promising in simulating hydrologic processes. The present review focuses on defining hybrid modeling, the advantages of such combined models, as well as the history and potential future of their application in hydrology to predict important processes of the hydrologic cycle. Over the years, the use of wavelet-AI models in hydrology has steadily increased and attracted interest given the robustness and accuracy of the approach. This is attributable to the usefulness of wavelet transforms in multi-resolution analysis, de-noising, and edge effect detection over a signal, as well as the strong capability of AI methods in optimization and prediction of processes. Several ideas for future areas of research are also presented in this paper. (C) 2014 Elsevier B.V. All rights reserved.","Nourani, V; Baghanam, AH; Adamowski, J; Kisi, O",2014,"JOURNAL OF HYDROLOGY"
"Neuroscience-Inspired Artificial Intelligence","The fields of neuroscience and artificial intelligence (AI) have a long and intertwined history. In more recent times, however, communication and collaboration between the two fields has become less commonplace. In this article, we argue that better understanding biological brains could play a vital role in building intelligent machines. We survey historical interactions between the AI and neuroscience fields and emphasize current advances in AI that have been inspired by the study of neural computation in humans and other animals. We conclude by highlighting shared themes that may be key for advancing future research in both fields.","Hassabis, D; Kumaran, D; Summerfield, C; Botvinick, M",2017,"NEURON"
"A review on artificial intelligence based load demand forecasting techniques for smart grid and buildings","Electrical load forecasting plays a vital role in order to achieve the concept of next generation power system such as smart grid, efficient energy management and better power system planning. As a result, high forecast accuracy is required for multiple time horizons that are associated with regulation, dispatching, scheduling and unit commitment of power grid. Artificial Intelligence (AI) based techniques are being developed and deployed worldwide in on Varity of applications, because of its superior capability to handle the complex input and output relationship. This paper provides the comprehensive and systematic literature review of Artificial Intelligence based short term load forecasting techniques. The major objective of this study is to review, identify, evaluate and analyze the performance of Artificial Intelligence (AI) based load forecast models and research gaps. The accuracy of ANN based forecast model is found to be dependent on number of parameters such as forecast model architecture, input combination, activation functions and training algorithm of the network and other exogenous variables affecting on forecast model inputs. Published literature presented in this paper show the potential of AI techniques for effective load forecasting in order to achieve the concept of smart grid and buildings. (C) 2015 Elsevier Ltd. All rights reserved.","Raza, MQ; Khosravi, A",2015,"RENEWABLE & SUSTAINABLE ENERGY REVIEWS"
"Using Artificial Intelligence to Detect COVID-19 and Community-acquired Pneumonia Based on Pulmonary CT: Evaluation of the Diagnostic Accuracy","Background: Coronavirus disease 2019 (COVID-19) has widely spread all over the world since the beginning of 2020. It is desirable to develop automatic and accurate detection of COVID-19 using chest CT. Purpose: To develop a fully automatic framework to detect COVID-19 using chest CT and evaluate its performance. Materials and Methods: In this retrospective and multicenter study, a deep learning model, the COVID-19 detection neural network (COVNet), was developed to extract visual features from volumetric chest CT scans for the detection of COVID-19. CT scans of community-acquired pneumonia (CAP) and other non-pneumonia abnormalities were included to test the robustness of the model. The datasets were collected from six hospitals between August 2016 and February 2020. Diagnostic performance was assessed with the area under the receiver operating characteristic curve, sensitivity, and specificity. Results: The collected dataset consisted of 4352 chest CT scans from 3322 patients. The average patient age (+/- standard deviation) was 49 years +/- 15, and there were slightly more men than women (1838 vs 1484, respectively; P =.29). The per-scan sensitivity and specificity for detecting COVID-19 in the independent test set was 90% (95% confidence interval [CI]: 83%, 94%; 114 of 127 scans) and 96% (95% CI: 93%, 98%; 294 of 307 scans), respectively, with an area under the receiver operating characteristic curve of 0.96 (P<.001). The per-scan sensitivity and specificity for detecting CAP in the independent test set was 87% (152 of 175 scans) and 92% (239 of 259 scans), respectively, with an area under the receiver operating characteristic curve of 0.95 (95% CI: 0.93, 0.97). Conclusion: A deep learning model can accurately detect coronavirus 2019 and differentiate it from community-acquired pneumonia and other lung conditions. (C) RSNA, 2020","Li, L; Qin, LX; Xu, ZG; Yin, YB; Wang, X; Kong, B; Bai, JJ; Lu, Y; Fang, ZH; Song, Q; Cao, KL; Liu, DL; Wang, GS; Xu, QZ; Fang, XS; Zhang, SQ; Xia, J; Xia, J",2020,"RADIOLOGY"
"Artificial Intelligence in Service","Artificial intelligence (AI) is increasingly reshaping service by performing various tasks, constituting a major source of innovation, yet threatening human jobs. We develop a theory of AI job replacement to address this double-edged impact. The theory specifies four intelligences required for service tasks-mechanical, analytical, intuitive, and empathetic-and lays out the way firms should decide between humans and machines for accomplishing those tasks. AI is developing in a predictable order, with mechanical mostly preceding analytical, analytical mostly preceding intuitive, and intuitive mostly preceding empathetic intelligence. The theory asserts that AI job replacement occurs fundamentally at the task level, rather than the job level, and for ""lower"" (easier for AI) intelligence tasks first. AI first replaces some of a service job's tasks, a transition stage seen as augmentation, and then progresses to replace human labor entirely when it has the ability to take over all of a job's tasks. The progression of AI task replacement from lower to higher intelligences results in predictable shifts over time in the relative importance of the intelligences for service employees. An important implication from our theory is that analytical skills will become less important, as AI takes over more analytical tasks, giving the ""softer"" intuitive and empathetic skills even more importance for service employees. Eventually, AI will be capable of performing even the intuitive and empathetic tasks, which enables innovative ways of human-machine integration for providing service but also results in a fundamental threat for human employment.","Huang, MH; Rust, RT",2018,"JOURNAL OF SERVICE RESEARCH"
"AI IN CAI - AN ARTIFICIAL-INTELLIGENCE APPROACH TO COMPUTER-ASSISTED INSTRUCTION","","CARBONEL.JR",1970,"IEEE TRANSACTIONS ON MAN-MACHINE SYSTEMS"
"Explanation in artificial intelligence: Insights from the social sciences","There has been a recent resurgence in the area of explainable artificial intelligence as researchers and practitioners seek to provide more transparency to their algorithms. Much of this research is focused on explicitly explaining decisions or actions to a human observer, and it should not be controversial to say that looking at how humans explain to each other can serve as a useful starting point for explanation in artificial intelligence. However, it is fair to say that most work in explainable artificial intelligence uses only the researchers' intuition of what constitutes a 'good' explanation. There exist vast and valuable bodies of research in philosophy, psychology, and cognitive science of how people define, generate, select, evaluate, and present explanations, which argues that people employ certain cognitive biases and social expectations to the explanation process. This paper argues that the field of explainable artificial intelligence can build on this existing research, and reviews relevant papers from philosophy, cognitive psychology/science, and social psychology, which study these topics. It draws out some important findings, and discusses ways that these can be infused with work on explainable artificial intelligence. (C) 2018 Elsevier B.V. All rights reserved.","Miller, T",2019,"ARTIFICIAL INTELLIGENCE"
"Artificial intelligence in medicine","Artificial Intelligence (AI) is a general term that implies the use of a computer to model intelligent behavior with minimal human intervention. Al is generally accepted as having started with the invention of robots. The term derives from the Czech word robota, meaning biosynthetic machines used as forced labor. In this field, Leonardo Da Vinci's lasting heritage is today's burgeoning use of robotic-assisted surgery, named after him, for complex urologic and gynecologic procedures. Da Vinci's sketchbooks of robots helped set the stage for this innovation. AI, described as the science and engineering of making intelligent machines, was officially born in 1956. The term is applicable to a broad range of items in medicine such as robotics, medical diagnosis, medical statistics, and human biology up to and including today's ""omics"". AI in medicine, which is the focus of this review, has two main branches: virtual and physical. The virtual branch includes informatics approaches from deep learning information management to control of health management systems, including electronic health records, and active guidance of physicians in their treatment decisions. The physical branch is best represented by robots used to assist the elderly patient or the attending surgeon. Also embodied in this branch are targeted nanorobots, a unique new drug delivery system. The societal and ethical complexities of these applications require further reflection, proof of their medical utility, economic value, and development of interdisciplinary strategies for their wider application. (C) 2017 Published by Elsevier Inc.","Hamet, P; Tremblay, J",2017,"METABOLISM-CLINICAL AND EXPERIMENTAL"
"Use of Artificial Intelligence in the Design of Small Peptide Antibiotics Effective against a Broad Spectrum of Highly Antibiotic-Resistant Superbugs","Increased multiple antibiotic resistance in the face of declining antibiotic discovery is one of society's most pressing health issues. Antimicrobial peptides represent a promising new class of antibiotics. Here we ask whether it is possible to make small broad spectrum peptides employing minimal assumptions, by capitalizing on accumulating chemical biology information. Using peptide array technology, two large random 9-amino-acid peptide libraries were iteratively created using the amino acid composition of the most active peptides. The resultant data was used together with Artificial Neural Networks, a powerful machine learning technique, to create quantitative in silico models of antibiotic activity. On the basis of random testing, these models proved remarkably effective in predicting the activity of 100,000 virtual peptides. The best peptides, representing the top quartile of predicted activities, were effective against a broad array of multidrug-resistant ""Superbugs"" with activities that were equal to or better than four highly used conventional antibiotics, more effective than the most advanced clinical candidate antimicrobial peptide, and protective against Staphylococcus aureus infections in animal models.","Cherkasov, A; Hilpert, K; Jenssen, H; Fjell, CD; Waldbrook, M; Mullaly, SC; Volkmer, R; Hancock, REW",2009,"ACS CHEMICAL BIOLOGY"
"Artificial intelligence in healthcare","Artificial intelligence (AI) is gradually changing medical practice. With recent progress in digitized data acquisition, machine learning and computing infrastructure, AI applications are expanding into areas that were previously thought to be only the province of human experts. In this Review Article, we outline recent breakthroughs in AI technologies and their biomedical applications, identify the challenges for further progress in medical AI systems, and summarize the economic, legal and social implications of AI in healthcare.","Yu, KH; Beam, AL; Kohane, IS",2018,"NATURE BIOMEDICAL ENGINEERING"
"Putting the 'Smarts' into the Smart Grid: A Grand Challenge for Artificial Intelligence","","Ramchurn, SD; Vytelingum, P; Rogers, A; Jennings, NR",2012,"COMMUNICATIONS OF THE ACM"
"ARTIFICIAL-INTELLIGENCE - USING COMPUTERS TO THINK ABOUT THINKING .1. REPRESENTING KNOWLEDGE","","GARFIELD, E",1983,"CURRENT CONTENTS"
"ARTIFICIAL-INTELLIGENCE - USING COMPUTERS TO THINK ABOUT THINKING .2. SOME PRACTICAL APPLICATIONS OF AI","","GARFIELD, E",1983,"CURRENT CONTENTS"
"Artificial intelligence in cancer imaging: Clinical challenges and applications","Judgement, as one of the core tenets of medicine, relies upon the integration of multilayered data with nuanced decision making. Cancer offers a unique context for medical decisions given not only its variegated forms with evolution of disease but also the need to take into account the individual condition of patients, their ability to receive treatment, and their responses to treatment. Challenges remain in the accurate detection, characterization, and monitoring of cancers despite improved technologies. Radiographic assessment of disease most commonly relies upon visual evaluations, the interpretations of which may be augmented by advanced computational analyses. In particular, artificial intelligence (AI) promises to make great strides in the qualitative interpretation of cancer imaging by expert clinicians, including volumetric delineation of tumors over time, extrapolation of the tumor genotype and biological course from its radiographic phenotype, prediction of clinical outcome, and assessment of the impact of disease and treatment on adjacent organs. AI may automate processes in the initial interpretation of images and shift the clinical workflow of radiographic detection, management decisions on whether or not to administer an intervention, and subsequent observation to a yet to be envisioned paradigm. Here, the authors review the current state of AI as applied to medical imaging of cancer and describe advances in 4 tumor types (lung, brain, breast, and prostate) to illustrate how common clinical problems are being addressed. Although most studies evaluating AI applications in oncology to date have not been vigorously validated for reproducibility and generalizability, the results do highlight increasingly concerted efforts in pushing AI technology to clinical use and to impact future directions in cancer care.","Bi, WL; Hosny, A; Schabath, MB; Giger, ML; Birkbak, NJ; Mehrtash, A; Allison, T; Arnaout, O; Abbosh, C; Dunn, IF; Mak, RH; Tamimi, RM; Tempany, CM; Swanton, C; Hoffmann, U; Schwartz, LH; Gillies, RJ; Huang, RY; Aerts, HJWL",2019,"CA-A CANCER JOURNAL FOR CLINICIANS"
"Automated analysis of protein NMR assignments using methods from artificial intelligence","An expert system for determining resonance assignments from NMR spectra of proteins is described. Given the amino acid sequence, a two-dimensional N-15-H-1 heteronuclear correlation spectrum and seven to eight three-dimensional triple-resonance NMR spectra for seven proteins, AUTOASSIGN obtained an average of 98% of sequence-specific spin-system assignments with an error rate of less than 0.5%. Execution times on a Sparc 10 workstation varied from 16 seconds for smaller proteins with simple spectra to one to nine minutes for medium size proteins exhibiting numerous extra spin systems attributed to conformational isomerization. AUTOASSIGN combines symbolic constraint satisfaction methods with a domain-specific knowledge base to exploit the logical structure of the sequential assignment problem, the specific features of the various NMR experiments, and the expected chemical shift frequencies of different amino acids. The current implementation specializes in the analysis of data derived from the most sensitive of the currently available triple-resonance experiments. Potential extensions of the system for analysis of additional types of protein NMR data are also discussed. (C) 1997 Academic Press Limited.","Zimmerman, DE; Kulikowski, CA; Huang, YP; Feng, WQ; Tashiro, M; Shimotakahara, S; Chien, CY; Powers, R; Montelione, GT",1997,"JOURNAL OF MOLECULAR BIOLOGY"
"Artificial Intelligence in Precision Cardiovascular Medicine","Artificial intelligence (AI) is a field of computer science that aims to mimic human thought processes, learning capacity, and knowledge storage. AI techniques have been applied in cardiovascular medicine to explore novel genotypes and phenotypes in existing diseases, improve the quality of patient care, enable cost-effectiveness, and reduce readmission and mortality rates. Over the past decade, several machine-learning techniques have been used for cardiovascular disease diagnosis and prediction. Each problem requires some degree of understanding of the problem, in terms of cardiovascular medicine and statistics, to apply the optimal machine-learning algorithm. In the near future, AI will result in a paradigm shift toward precision cardiovascular medicine. The potential of AI in cardiovascular medicine is tremendous; however, ignorance of the challenges may overshadow its potential clinical impact. This paper gives a glimpse of AI's application in cardiovascular clinical care and discusses its potential role in facilitating precision cardiovascular medicine. (J Am Coll Cardiol 2017;69:2657-64) (C) 2017 by the American College of Cardiology Foundation.","Krittanawong, C; Zhang, HJ; Wang, Z; Aydar, M; Kitai, T",2017,"JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY"
"The practical implementation of artificial intelligence technologies in medicine","The development of artificial intelligence (AI)-based technologies in medicine is advancing rapidly, but real-world clinical implementation has not yet become a reality. Here we review some of the key practical issues surrounding the implementation of AI into existing clinical workflows, including data sharing and privacy, transparency of algorithms, data standardization, and interoperability across multiple platforms, and concern for patient safety. We summarize the current regulatory environment in the United States and highlight comparisons with other regions in the world, notably Europe and China.","He, JX; Baxter, SL; Xu, J; Xu, JM; Zhou, XT; Zhang, K",2019,"NATURE MEDICINE"
"Ambient intelligence - the next step for artificial intelligence","","Ramos, C; Augusto, JC; Shapiro, D",2008,"IEEE INTELLIGENT SYSTEMS"
"Univariate and multivariate forecasting of hourly solar radiation with artificial intelligence techniques","This paper introduces a new approach for the forecasting of mean hourly global solar radiation received by a horizontal surface. In addition to the traditional linear methods, several artificial-intelligence-based techniques are studied. These include linear, feed-forward, recurrent Elman and Radial Basis neural networks alongside the adaptive neuro-fuzzy inference scheme. The problem is examined initially for the univariate case, and is extended to include additional meteorological parameters in the process of estimating the optimum model. The results indicate that the developed artificial intelligence models predict the solar radiation time series more effectively compared to the conventional procedures based on the clearness index. The forecasting ability of some models can be further enhanced with the use of additional meteorological parameters. (C) 2000 Elsevier Science Ltd. All rights reserved.","Sfetsos, A; Coonick, AH",2000,"SOLAR ENERGY"
"Fiber/Fabric-Based Piezoelectric and Triboelectric Nanogenerators for Flexible/Stretchable and Wearable Electronics and Artificial Intelligence","Integration of advanced nanogenerator technology with conventional textile processes fosters the emergence of textile-based nanogenerators (NGs), which will inevitably promote the rapid development and widespread applications of next-generation wearable electronics and multifaceted artificial intelligence systems. NGs endow smart textiles with mechanical energy harvesting and multifunctional self-powered sensing capabilities, while textiles provide a versatile flexible design carrier and extensive wearable application platform for their development. However, due to the lack of an effective interactive platform and communication channel between researchers specializing in NGs and those good at textiles, it is rather difficult to achieve fiber/fabric-based NGs with both excellent electrical output properties and outstanding textile-related performances. To this end, a critical review is presented on the current state of the arts of wearable fiber/fabric-based piezoelectric nanogenerators and triboelectric nanogenerators with respect to basic classifications, material selections, fabrication techniques, structural designs, and working principles, as well as potential applications. Furthermore, the potential difficulties and tough challenges that can impede their large-scale commercial applications are summarized and discussed. It is hoped that this review will not only deepen the ties between smart textiles and wearable NGs, but also push forward further research and applications of future wearable fiber/fabric-based NGs.","Dong, K; Peng, X; Wang, ZL",2020,"ADVANCED MATERIALS"
